GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
pos,pos.pojo,BrandPojo,0,24,0,0,0,10,0,7,0,7
pos,pos.pojo,InventoryPojo,4,20,0,0,2,8,1,6,1,6
pos,pos.pojo,OrderItemPojo,14,34,0,0,3,14,2,10,2,10
pos,pos.pojo,OrderPojo,4,20,0,0,2,8,1,6,1,6
pos,pos.pojo,ProductPojo,4,34,0,0,2,14,1,10,1,10
pos,pos.model.form,ProductForm,7,38,0,0,3,16,2,11,2,11
pos,pos.model.form,ReportFilter,31,0,0,0,13,0,9,0,9,0
pos,pos.model.form,OrderItemForm,0,24,0,0,0,10,0,7,0,7
pos,pos.model.form,BrandForm,0,17,0,0,0,7,0,5,0,5
pos,pos.model.form,InventoryForm,0,17,0,0,0,7,0,5,0,5
pos,pos.model.form,ApiError,34,0,0,0,14,0,7,0,7,0
pos,pos.model.data,InventoryData,83,7,16,0,2,3,13,2,5,2
pos,pos.model.data,OrderItemData,119,14,24,0,2,6,17,4,5,4
pos,pos.model.data,OrderInvoiceData,145,24,30,0,0,10,19,7,4,7
pos,pos.model.data,InventoryReportData,9,15,0,0,3,7,3,4,3,4
pos,pos.model.data,InfoData,94,0,14,0,7,0,14,0,7,0
pos,pos.model.data,AboutAppData,17,0,0,0,7,0,5,0,5,0
pos,pos.model.data,BrandData,83,7,16,0,2,3,13,2,5,2
pos,pos.model.data,ProductData,76,7,14,0,1,3,12,2,5,2
pos,pos.model.data,SaleReportData,12,19,0,0,4,9,4,5,4,5
pos,pos.service,InventoryService,78,85,6,6,13,23,6,10,2,8
pos,pos.service,ApiException,0,4,0,0,0,2,0,1,0,1
pos,pos.service,OrderService,224,240,12,12,37,51,13,16,4,13
pos,pos.service,ReportService,406,3,28,0,72,1,25,1,11,1
pos,pos.service,AboutAppService,0,9,0,0,0,3,0,3,0,3
pos,pos.service,BrandService,258,66,25,5,42,19,19,8,5,7
pos,pos.service,ProductService,267,93,27,7,52,22,22,9,7,7
pos,pos.controller,UIController,24,3,0,0,6,1,6,1,6,1
pos,pos.controller,AbstractUiController,20,3,0,0,4,1,1,1,1,1
pos,pos.controller,TSVController,40,3,0,0,9,1,1,1,1,1
pos,pos.controller,OrderController,298,3,20,0,60,1,19,1,9,1
pos,pos.controller,ReportController,67,3,0,0,16,1,4,1,4,1
pos,pos.controller,BrandController,59,3,2,0,17,1,6,1,5,1
pos,pos.controller,InvoiceController,32,3,0,0,8,1,2,1,2,1
pos,pos.controller,ExceptionHandler,17,3,0,0,2,1,2,1,2,1
pos,pos.controller,InventoryController,125,3,4,0,28,1,7,1,5,1
pos,pos.controller,AppController,16,3,0,0,4,1,1,1,1,1
pos,pos.controller,ProductController,166,3,4,0,31,1,7,1,5,1
pos,pos.dao,AbstractDao,7,12,0,0,1,3,1,3,1,3
pos,pos.dao,BrandDao,8,49,0,0,3,13,1,6,1,6
pos,pos.dao,ProductDao,6,46,1,1,2,13,2,5,1,5
pos,pos.dao,OrderItemDao,0,42,0,0,0,11,0,5,0,5
pos,pos.dao,OrderDao,21,29,0,0,6,7,2,4,2,4
pos,pos.dao,InventoryDao,7,53,0,2,2,15,0,7,0,6
pos,pos.util,StringUtil,3,18,1,5,1,2,2,4,1,2
pos,pos.util,DataConversionUtil,3,388,0,10,1,94,1,19,1,14
pos,pos.util,IOUtil,11,0,2,0,7,0,3,0,2,0
pos,pos.util,PdfConversionUtil,69,0,0,0,18,0,3,0,3,0
pos,pos.spring,WebInitializer,20,0,0,0,4,0,4,0,4,0
pos,pos.spring,ControllerConfig,4,112,0,0,2,25,1,7,1,7
pos,pos.spring,SpringConfig,3,0,0,0,1,0,1,0,1,0
pos,pos.spring,DbConfig,0,102,0,0,0,27,0,4,0,4
pos,pos.model.xml,SaleXmlList,0,10,0,0,0,4,0,3,0,3
pos,pos.model.xml,BrandXmlList,10,0,0,0,4,0,3,0,3,0
pos,pos.model.xml,InventoryXmlList,0,10,0,0,0,4,0,3,0,3
pos,pos.model.xml,OrderData,6,18,0,0,2,8,2,5,2,5
pos,pos.model.xml,OrderInvoiceXmlList,21,10,0,0,9,4,6,3,6,3
